Datos adquiridos de video el 2023-02-24,,,,,,
,,,,,,
,,,,,,
,mass_A,,,,,
t,x,y,vx,vy,ax,ay
0.03333333,-0.001370539,0.005284468,�,�,�,�
0.06665556,-0.001220805,0.005291758,0.003543324,0.002049132,�,�
0.1,-0.001134318,0.005421077,0.002464951,0.003278516,-0.005748894,-0.01132636
0.1333222,-0.001056475,0.005510326,0.003143724,0.001088194,0.02993692,-0.04306341
0.1666556,-0.000924771,0.005493611,0.004615224,-0.00002824196,0.007882154,-0.02040663
0.1999889,-0.0007487929,0.005508443,0.003934396,0.0001342018,-0.04715259,0.04766551
0.2333333,-0.0006624342,0.00550256,0.00119251,0.00259688,-0.01401027,0.07226527
0.2666556,-0.0006692922,0.005681568,0.002419064,0.005737348,0.03413034,0.04795221
0.2999889,-0.0005011902,0.005884986,0.004495647,0.005577155,0.03778404,0.01012394
0.3333222,-0.0003695825,0.006053379,0.004348655,0.006064176,-0.04924936,-0.04601165
0.3666556,-0.0002112799,0.006289264,0.001822979,0.003399333,-0.03516995,-0.02193577
0.3999889,-0.0002480505,0.006280001,0.0008335444,0.002945273,0.03015231,0.02882379
0.4333333,-0.000155701,0.006485648,0.004550265,0.006692549,0.04986374,0.03555411
0.4666556,0.00005530048,0.006726171,0.004632776,0.005281664,-0.02627335,-0.06368296
0.5,0.0001531507,0.006837759,0.002169019,0.002010703,0.001420015,-0.02919847
0.5333222,0.0001999018,0.006860218,0.004333074,0.002910715,0.0004406291,0.08511034
0.5666556,0.0004419742,0.007031775,0.003659633,0.00809371,-0.03347802,0.08919181
0.5999889,0.0004438773,0.007399798,0.0005781012,0.009584991,-0.05228026,-0.030884
0.6333333,0.0004805207,0.00767088,0.0008705035,0.005565079,-0.02211801,-0.05484816
0.6666556,0.0005019109,0.007770804,-0.0008265567,0.005104272,0.003005644,0.06048835
0.6999889,0.0004254261,0.008011109,0.0003117706,0.01014643,0.06484443,0.04595206
0.7333222,0.0005226956,0.008447232,0.004258699,0.009252153,0.01077727,-0.04041357
0.7666556,0.0007093394,0.008627919,0.001610752,0.005873191,-0.0529623,-0.05291722
0.7999889,0.000630079,0.008838778,-0.0008254264,0.006390034,-0.03885644,0.03308354
0.8333333,0.0006543018,0.009053992,0.0001202491,0.00783572,0.01754202,0.02582532
0.8666556,0.0006380956,0.00936116,-0.0001053252,0.008587481,-0.03214449,-0.00415082
0.9,0.0006472801,0.009626491,-0.001564417,0.007279815,0.02138448,0.001337357
0.9333222,0.0005338012,0.009846481,0.0002219566,0.008326809,0.0267468,0.03967261
0.9666556,0.0006620747,0.01018152,0.001808957,0.01045691,0.02841204,0.000912415
0.9999889,0.0006543983,0.01054361,0.0008595204,0.008580099,0.1660282,-0.05668063
1.033333,0.0007193856,0.01075362,0.01203891,0.006009968,0.4578019,-0.03160772
1.066656,0.001456993,0.01094427,0.03261485,0.006593639,0.7861036,0.07412818
1.099989,0.002893347,0.01119312,0.06313556,0.0107706,0.8444235,0.06293938
1.133322,0.00566603,0.01166231,0.09188171,0.01191593,0.7240997,-0.07401974
1.166656,0.009018794,0.01198752,0.1097253,0.005372909,0.6550349,-0.1236579
1.199989,0.01298105,0.01202051,0.1346472,0.0025093,0.73062,-0.0676616
1.233333,0.01799677,0.01215483,0.1602458,0.002186023,0.7550332,0.04382063
1.266656,0.0236641,0.01216624,0.1836077,0.004144459,0.7710229,0.09997591
1.3,0.03023728,0.01243113,0.212016,0.009919057,0.8064242,0.05055458
1.333322,0.0377985,0.01282751,0.2380912,0.008080524,0.8440451,-0.009380981
1.366656,0.04610739,0.01296974,0.2668594,0.007465701,0.7332686,-0.01710307
1.399989,0.05558913,0.01332523,0.2896185,0.008558365,0.7426325,-0.06390292
1.433333,0.06541851,0.0135404,0.3127869,0.002685681,0.6869071,-0.1249607
1.466656,0.07644159,0.01350427,0.3387456,-0.0006143941,0.7952192,-0.07170295
1.499989,0.08799779,0.01349944,0.363173,-0.001262271,0.6658286,0.02610086
1.533322,0.1006531,0.01342012,0.3857663,0.0003492954,0.8184335,0.001792277
1.566656,0.1137155,0.01352273,0.413968,0.0002067707,0.7401037,0.01052415
1.599989,0.128251,0.0134339,0.4399207,-0.0004723699,0.7995008,-0.02806179
1.633333,0.1430485,0.01349123,0.4625708,-0.0003340216,0.7689909,-0.0134723
1.666656,0.159089,0.01341164,0.4941825,-0.002285395,0.8304894,-0.008864731
1.7,0.175994,0.01333887,0.5174987,-0.0007998861,0.6966166,0.02131263
1.733322,0.193589,0.01335831,0.5400771,-0.0003509147,0.6769984,-0.02104142
1.766656,0.2119931,0.01331548,0.563059,-0.002494297,0.7480404,-0.01031301
1.799989,0.2311262,0.01319202,0.5889918,-0.001556915,0.7193994,-0.03494879
1.833333,0.2512658,0.01321167,0.6125723,-0.003459689,0.6481399,-0.03614899
1.866656,0.2719644,0.01296138,0.6311962,-0.005691359,0.7383514,0.002931206
1.899989,0.2933385,0.01283231,0.6607093,-0.002379518,0.6652144,0.00876894
1.933322,0.3160117,0.01280274,0.6796313,-0.004432712,0.5748973,-0.03122066
1.966656,0.3386473,0.0125368,0.6939633,-0.005973582,0.7627761,-0.002756427
1.999989,0.3622759,0.0124045,0.7314597,-0.003590508,0.8794729,0.03247168
2.033333,0.3874194,0.01229739,0.7566275,-0.003890587,0.3083505,0.03243405
2.066656,0.4127177,0.01214513,0.7507331,-0.002037358,0.3426763,-0.01876209
2.1,0.4374682,0.01216156,0.7725084,-0.003719874,0.7399242,-0.03064909
2.133322,0.4642183,0.01189714,0.8090192,-0.005932339,0.9476429,-0.02461794
2.166656,0.4913939,0.01176614,0.8309793,-0.004155233,0.6247597,-0.008315095
2.199989,0.5196169,0.01162013,0.8530422,-0.006527939,0.7207715,-0.00980498
2.233333,0.5482728,0.01133087,0.8762711,-0.005801457,0.6438682,-0.02513311
2.266656,0.578035,0.01123336,0.8991898,-0.006558166,0.7586794,-0.02563265
2.299989,0.6082088,0.01089373,0.9236152,-0.009112555,0.7056558,-0.0609904
2.333322,0.6396093,0.01062586,0.9493962,-0.009576134,0.8389435,0.0337334
2.366656,0.6715019,0.01025533,0.9762442,-0.007914682,0.8356027,0.005959789
2.399989,0.7046923,0.01009821,1.007713,-0.007626516,0.7837638,-0.01729216
2.433333,0.738694,0.009746807,1.028049,-0.01038058,0.789294,-0.03542782
2.466656,0.7732289,0.009406174,1.05793,-0.009613963,0.7341632,-0.002479435
2.5,0.8092226,0.009105876,1.081817,-0.0102227,0.6628008,0.006032371
2.533322,0.84535,0.00872466,1.097771,-0.009870661,0.5743742,0.01527273
2.566656,0.8823952,0.008447941,1.122206,-0.008548064,0.7223852,0.05693882
2.599989,0.9201637,0.008154789,1.144961,-0.00666972,0.5275428,0.0525967
2.633333,0.9587387,0.008003219,1.159028,-0.00441806,0.5601491,0.01168517
2.666656,0.9974322,0.007860252,1.178913,-0.005925662,0.546448,-0.09823158
2.699989,1.03732,0.007608241,1.199859,-0.01096607,0.6353533,0.7244755
2.733322,1.077423,0.007129181,1.217389,0.03462649,�,�
2.766656,1.118479,0.009916673,�,�,�,�
